artist_name,track_name
jerry vale,"ciao, ciao, bambina"
jerry vale,non dimenticar
jerry vale,al di la
harry belafonte,matilda
the clovers,devil or angel
harry belafonte,hosanna
jerry vale,volare (nel blu dipinto di blu)
the platters,why should i
johnny mathis,in other words (fly me to the moon)
lavern baker,i'll never be free
the platters,remember when
the clovers,love love love
johnny mathis,it might as well be spring
the platters,at your beck and call
the platters,september in the rain
the platters,i give you my word
jerry vale,more
jerry vale,summertime in venice
the clovers,here goes a fool
t. m. soundararajan,chinna kelbyaadve nanna ppuraana
frankie laine,remember me (the girl in the wood)
groovie ghoulies,blood beach
ricky nelson,am i blue?
harry belafonte,don't ever love me
harry belafonte,angelique-o
ricky nelson,true love
johnny mathis,by myself
johnny mathis,warm
lata mangeshkar,panchhi banoon udti phiroon
billy vaughn,miss you
eddie cochran,one kiss
johnny mathis,i'm glad there is you
johnny mathis,"baby, baby, baby"
eddie cochran,undying love
ricky nelson,your true love
harry belafonte,cu cu ru cu cu paloma
harry belafonte,cordelia brown
andy williams,dear heart
eddie cochran,completely sweet
eddie cochran,sittin' in the balcony
andy williams,a time for us
the chordettes,soft sands
andy williams,(where do i begin) love story
andy williams,canadian sunset
jimmie rodgers,kisses sweeter than wine
the chordettes,eddie my love
the chordettes,come home to my arms
the chordettes,love never changes
mohammed rafi,tumsa nahin dekha
lavern baker,i can't love you enough
ghantasala,choopula kalasina subhavela
eddie cochran,i'm alone because i love you
johnny mathis,i've grown accustomed to her face
andy williams,speak softly love
the chordettes,teen age goodnight
harry belafonte,"love, love alone"
the keynotes,now i know
the keynotes,tell me you love me
lavern baker,still
the keynotes,i don't know
pradeep kumar,suno sunaoon tumhen ek kahani
norrie paramor,i'll see you in my dreams
les paul,"i surrender, dear"
esquivel!,titulos principio
the platters,in the middle of nowhere
the platters,you are too beautiful
lavern baker,that's all i need
ghantasala,aagaya veedhiyil
the platters,don't blame me
perry como,between the devil and the deep blue sea
perry como,in the garden
perry como,he's got the whole world in his hands
perry como,birth of the blues
johnny mathis,where can i go?
張露,夢斷巫山
張露,你去了那裡
frankie laine,mona lisa
a. m. rajah,inbamae pongumae
t. m. soundararajan,enna vendum
maria koterbska,cowboy jackie
ricky nelson,unchained melody
frankie laine,"rose, rose, i love you"
bobby darin,talk to me something
ricky nelson,there goes my baby
the everly brothers,"oh, so many years"
johnny mathis,when i am with you
ricky nelson,i'll walk alone
ricky nelson,down the line
billy vaughn,yours
jerry vale,all dressed up with a broken heart
buddy holly,changing all those changes
johnny mathis,no love (but your love)
bobby darin,pretty betty
buddy holly,well...all right
johnny mathis,"wonderful, wonderful"
buddy holly,i'm gonna love you too
johnny mathis,sleigh ride
johnny mathis,the twelfth of never
jackie wilson,to be loved
johnny mathis,when sunny gets blue
buddy holly,words of love
ricky nelson,poor little fool
frankie laine,high noon
buddy holly,"blue days, black nights"
buddy holly,take your time
johnny mathis,winter wonderland
buddy holly,little baby
buddy holly,valley of tears
frankie lymon,diana
the everly brothers,long time gone
the everly brothers,roving gambler
buddy holly,listen to me
buddy holly,you are my one desire
buddy holly,love me
perry como,love letters
the drifters,drifting away from you
the drifters,moonlight bay
the platters,i'll take you home again kathleen
the platters,my serenade
the platters,sleepy time gal
the platters,try a little tenderness
mantovani,"god rest ye merry, gentlemen"
jerry vale,all of me
the platters,that old feeling
the platters,for the first time
ricky nelson,believe what you say
ricky nelson,my bucket's got a hole in it
frankie laine,jealousy (jalousie)
the platters,it's raining outside
jerry lee lewis,good night irene
johnny mathis,blue christmas
the platters,whispering wind
jackie wilson,as long as i live
jackie wilson,right now!
frankie laine,granada
frankie laine,your cheatin' heart
the platters,but not like you
jackie wilson,danny boy
frankie laine,that's my desire
ricky nelson,don't leave me
jerry vale,"promises, promises"
jerry vale,moonglow
neil sedaka,i belong to you
neil sedaka,crying my heart out for you
neil sedaka,moon of gold
neil sedaka,i waited too long
neil sedaka,forty winks away
neil sedaka,no vacancy
ricky nelson,blood from a stone
neil sedaka,going home to mary lou
cliff richard & the shadows,i'm walkin'
shirley bassey,i've got you under my skin
neil sedaka,walk with me
neil sedaka,as long as i live
neil sedaka,the same old fool
jackie wilson,love is all
ghantasala,shiva shankari shivananda
lloyd price,i wish your picture was you
johnny mathis,stairway to the sea (scalinatella)
johnny mathis,embraceable you
johnny mathis,let's love
tony dallara,oceano
rania,منك بخاف
ira ironstrings,let it snow! let it snow! let it snow!
brenda lee,back in your own back yard
johnny mathis,you better go now
johnny mathis,i'm just a boy in love
johnny mathis,secret love
johnny mathis,where are you?
johnny mathis,faithfully
connie francis,have yourself a merry little christmas
connie francis,i'll be home for christmas
lavern baker,"touch me, lord jesus"
jackie wilson,happiness
jackie wilson,"only you, only me"
jackie wilson,it's all a part of love
the brothers four,superman
the brothers four,angelique-o
the brothers four,the damsel's lament (i never will marry)
johnny mathis,i'll be easy to find
the platters,prisoner of love
the platters,if i didn't care
the flamingos,as time goes by
johnny mathis,when i fall in love
the platters,i'll never smile again
connie francis,mama
ritchie valens,rockin' all night
dion & the belmonts,i got the blues
bobby darin,through a long and sleepless night
ricky nelson,sweeter than you
dion & the belmonts,no one knows
connie francis,non dimenticar
the byrds,turn! turn! turn! (to everything there is a season)
simon & garfunkel,mrs. robinson
the brothers four,yellow bird
ritchie valens,stay beside me
dion & the belmonts,just you
neil sedaka,you mean everything to me
fats domino,i'm walkin'
jackie wilson,lonely teardrops
neil sedaka,oh! carol
ricky nelson,lonesome town
fats domino,blueberry hill
fats domino,ain't that a shame
the platters,smoke gets in your eyes
dion & the belmonts,a teenager in love
ritchie valens,we belong together
connie francis,winter wonderland
ritchie valens,paddiwack song
esquivel!,boulevard of broken dreams
ricky nelson,it's late
bobby darin,i'll remember april
ritchie valens,my darling is gone
the flamingos,"music, maestro, please!"
dion & the belmonts,that's my desire
the clovers,fool fool fool
the clovers,all about you
harry belafonte,the marching saints
neil sedaka,i must be dreaming
ricky nelson,one minute to one
connie francis,you alone
esquivel!,all of me
the platters,love in bloom
neil sedaka,all i need is you
johnny mathis,tonight
johnny mathis,call me
neil sedaka,run samson run
ricky nelson,half breed
connie francis,i have but one heart
brenda lee,baby face
the brothers four,sama kama wacky brown
simon & garfunkel,the sound of silence
neil sedaka,one way ticket
dion & the belmonts,don't pity me
harry belafonte,swing low
neil sedaka,another sleepless night
bobby darin,it ain't necessarily so
johnny mathis,stranger in paradise
bobby darin,that's the way love is
johnny mathis,a ride on a rainbow
johnny mathis,someone
"blood, sweat & tears",you've made me so very happy
jackie wilson,someone to need me (as i need you)
ricky nelson,i can't help it (if i'm still in love with you)
ricky nelson,it's all in the game
jerry lee lewis,your cheating heart
sam cooke,the japanese farewell song
the brothers four,i am a roving gambler
bobby darin,christmas auld land syne
miriam makeba,"lakutshn, ilanga"
the everly brothers,"oh, true love"
the everly brothers,you thrill me (through and through)
fats domino,three nights a week
patti page,with my eyes wide open i'm dreaming
fats domino,don't come knockin'
brook benton,september song
the flamingos,you belong to my heart
harry belafonte,a hole in the bucket
sam cooke,sweet leilani
the everly brothers,memories are made of this
the everly brothers,some sweet day
the flamingos,at night
bobby darin,guys and dolls
jackie wilson,"a woman, a lover, a friend"
the brothers four,"theme from ""la fayette"""
connie francis,summertime in venice
the flamingos,tell me how long
the moody blues,steal your heart away
the flamingos,when i fall in love
miriam makeba,one more dance
the flamingos,tenderly
fats domino,it's the talk of the town
brenda lee,blueberry hill
brenda lee,teach me tonight
the platters,moonlight on the colorado
johnny mathis,don't blame me
mohammed rafi,saathi na koi manzil
ike & tina turner,i had a notion
si zentner,little jazz
neil sedaka,circulate
neil sedaka,sweet little you
neil sedaka,king of clowns
neil sedaka,look inside your heart
bobby darin,somebody to love
neil sedaka,smile
annette funicello,lonely guitar
fats domino,you always hurt the one you love
ike & tina turner,chances are
ike & tina turner,sleepless
annette funicello,i love you
frankie avalon,bobby sox to stockings
eden ahbez,the wanderer
sam cooke,(ain't that) good news
patti page,changing partners
sam cooke,good times
the everly brothers,always it's you
frankie avalon,just ask your heart
the everly brothers,so sad (to watch good love go bad)
sam cooke,keep movin' on
the everly brothers,sleepless nights
fats domino,walking to new orleans
sam cooke,soul
sam cooke,unchained melody
brenda lee,sweet nothin's
neil sedaka,breaking up is hard to do
sam cooke,you send me
sam cooke,nothing can change this love
the flamingos,mio amore
fats domino,my girl josephine
bobby vee,devil or angel
dion & the belmonts,i'm through with love
the everly brothers,love hurts
the platters,harbor lights
sam cooke,chain gang
sam cooke,jamaica farewell
sam cooke,"you, you, you"
sam cooke,far away places
joan baez,girl of constant sorrow
dion & the belmonts,a lover's prayer
sam cooke,under paris skies
patti page,mockin' bird hill
sam cooke,secret love
sam cooke,venus
the flamingos,bridge of tears
patti page,cross over the bridge
connie francis,return to me
sam cooke,the song from moulin rouge
sam cooke,you're nobody til somebody loves you
neil sedaka,all the words in the world
dion & the belmonts,all the things you are
sam cooke,the great pretender
patti page,i went to your wedding
brenda lee,heading home
brook benton,fools rush in
frankie avalon,i'll wait for you
sam cooke,mona lisa
sam cooke,falling in love
johnny burnette,cincinnati fireball
neil sedaka,don't lead me on
dion & the belmonts,swinging on a star
joan baez,mary hamilton
chubby checker,the jet
andy williams,i'm old fashioned
andy williams,"come to me, bend to me"
bobby darin,just friends
the everly brothers,my mammy
brenda lee,cry
the shirelles,blue holiday
bobby vee,mister sandman
brian hyland,paper doll
ben e. king,"love me, love me"
the shirelles,the dance is over
judy collins,maid of constant sorrow
the miracles,a heart like mine
the miracles,don't leave me
del shannon,the search
andy williams,the twelfth of never
bobby vee,long lonely nights
brian hyland,baby face
connie francis,how long has this been going on
little richard,joy joy joy
bobby vee,light infatuation
bobby vee,how many tears
shirley bassey,love is a many splendored thing
the everly brothers,when i grow too old to dream
the shirelles,it's mine
the shirelles,what a sweet thing that was
johnny burnette,mona lisa
johnny burnette,oh lonesome me
sue thompson,paper tiger
les paul,am i blue
najat al saghira,إلى حبيبى تسجيل حفلة
les paul,your cheatin' heart
bobby darin,long ago and far away
bobby darin,the more i see you
the everly brothers,bully of the town
the everly brothers,muskrat
the everly brothers,"hi-lili, hi-lo"
sam cooke,the song is ended (but the melody lingers on)
roy orbison,blue avenue
roy orbison,rock house
jerry lee lewis,hello josephine
ben e. king,perfidia
the marvelettes,so long baby
mary wells,i'm gonna stay
bobby vee,earth angel
steve lawrence,footsteps
sam cooke,they call the wind maria
roy orbison,i'm hurtin'
del shannon,misery
lavern baker,saved
chubby checker,the watusi
sam cooke,you belong o me
sam cooke,if i had you (i'd be happy)
bobby vee,lollipop
brenda lee,dum dum
dee clark,raindrops
roy orbison,(i'd be) a legend in my time
ben e. king,come closer to me
dion,life is but a dream
sam cooke,"swing low, sweet chariot"
johnny burnette,you're sixteen
bobby vee,rubber ball
sam cooke,you're always on my mind
dion,dream lover
roy orbison,only the lonely
del shannon,runaway
harry belafonte,angelina
dion,lonely teenager
bobby vee,more than i can say
bobby darin,it had to be you
dion,the majestic
jerry butler,he will break your heart
roy orbison,raindrops
brenda lee,emotions
dion,lonely world
roy orbison,i can't stop loving you
the marvelettes,happy days
roy orbison,devil doll
del shannon,jody
les paul,"goodnight, irene"
brenda lee,will you love me tomorrow
dion,my one and only love
the shirelles,you don't want my love
roy orbison,this kind of love
roy orbison,sweet and easy to love
dee clark,nobody but you
jerry lee lewis,"cold, cold heart"
the miracles,won't you take me back
andy williams,tammy
johnny burnette,dream lover
andy williams,danny boy
harry belafonte,bally mena
frankie laine,wanted man
brenda lee,when i fall in love
harry belafonte,land of the sea and sun
roy orbison,twenty-two days
sam cooke,out in the cold again
sam cooke,but not for me
mary wells,please forgive me
brian hyland,angel in my heart
del shannon,day dreams
the marvelettes,oh i apologize
dee clark,hey little girl
dion,fools rush in
chubby checker,the stroll
mary wells,bad boy
dion,havin' fun
eddie cochran,cherished memories
bobby darin,i'll be there
bobby darin,blue skies
dion,lost for sure
the marvelettes,you should know
eddie cochran,love again
shelley fabares,"hi-lilli, hi-lo"
the lettermen,dreamer
mary wells,two wrongs don't make a right
eddie cochran,lonely
eddie cochran,little angel
the supremes,your heart belongs to me
eddie cochran,boll weevil song
timi yuro,what's a matter baby (is it hurting you)
the lettermen,blueberry hill
little eva,run to her
dion,king without a queen
pat boone,remember you're mine
cliff richard & the shadows,lessons in love
shelley fabares,breaking up is hard to do
pat boone,if dreams came true
pat boone,don't forbid me
roy orbison,(i get so) sentimental
chubby checker,the hucklebuck
pat boone,ain't that a shame
bobby vee,run to him
bobby darin,always
the marvelettes,(i've got to) cry over you
johnny tillotson,earth angel
little eva,sharing you
little eva,uptown
dee dee sharp,i sold my heart to the junkman
jerry vale,you alone (solo tu)
cliff richard,(it's) wonderful to be young
the orlons,let me in
gene chandler,baby that's love
gene chandler,so many ways
gene chandler,from day to day
roy orbison,night life
ben e. king,here comes the night
gene chandler,you left me
the supremes,never again
the supremes,play a sad song
the shirelles,big john (ain't you gonna marry me)
shelley fabares,love letters
johnny tillotson,dreamy eyes
bobby darin,all by myself
andy williams,a fool never learns
chris montez,you're the one
shelley fabares,true love
shelley fabares,sealed with a kiss
glen campbell,one hundred miles away from home
bobby vee,walkin' with my angel
bobby vee,sharing you
brenda lee,only you (and you alone)
chris montez,rocking blues
andy williams,your song
dion,donna the prima donna
georgie fame,the ballad of bonnie & clyde
ben e. king,ecstasy
roy orbison,let's make a memory
bob dylan,"baby, let me follow you down"
the shirelles,soldier boy
mary wells,you're my desire
roy orbison,the great pretender
dion,"tonight, tonight"
smokey robinson & the miracles,what's so good about goodbye
roy orbison,evergreen
johnny tillotson,take good care of her
"peter, paul and mary",if i had a hammer
andy williams,three coins in the fountain
andy williams,love is a many-splendored thing
andy williams,tonight
roy orbison,love hurts
bobby vinton,long lonely nights
bobby vinton,sealed with a kiss
roy orbison,it's over
bobby vinton,roses are red (my love)
the everly brothers,crying in the rain
bobby vinton,mr. lonely
ben e. king,stand by me
roy orbison,crying
bobby vinton,blue on blue
bobby vinton,over and over
andy williams,the impossible dream (the quest)
roy orbison,running scared
bobby vinton,i love how you love me
pat boone,love letters in the sand
chubby checker,limbo rock
bob dylan,fixin' to die
roy orbison,the crowd
the shirelles,putty in your hands
the lettermen,smile
roy orbison,she wears my ring
roy orbison,summer song
sam cooke,twistin' in the kitchen with dinah
ben e. king,i promise love
roy orbison,wedding day
chubby checker,loddy lo
del shannon,cry myself to sleep
andy williams,it might as well be spring
"peter, paul and mary",autumn to may
pat boone,i'll be home
jay & the americans,she cried
bob dylan,gospel plow
"peter, paul and mary",if i had my way
bobby vinton,halfway to paradise
bob dylan,see that my grave is kept clean
dee dee sharp,gravy (for my mashed potatoes)
cliff richard,when the girl in your arms is the girl in your heart
billy joe royal,cherry hill park
johnny tillotson,it keeps right on a-hurtin'
sam cooke,somebody's gonna miss me
the impressions,grow closer together
the beach boys,shut down (mono)
the beach boys,our car club
lesley gore,cry and you cry alone
andy williams,o holy night
andy williams,white christmas
mary wells,operator
the beach boys,ballad of ole' betsy
lesley gore,cry
lesley gore,fools rush in (where angels fear to tread)
lesley gore,young and foolish
bob dylan,girl from the north country
connie francis,second hand love
lesley gore,i would
bob dylan,i'll keep it with mine
lesley gore,if that's the way you want it
buddy holly,because i love you
the beach boys,custom machine
bob dylan,the death of emmett till
lesley gore,i understand
connie francis,many tears ago
vince guaraldi,chora tua tristeza
connie francis,breakin' in a brand new broken heart
the beach boys,surfers rule
the impressions,i'm the one who loves you
robin ward,wonderful summer
bob dylan,mr. tambourine man
del shannon,from me to you
bob dylan,long time gone
lesley gore,time to go
bob dylan,standing on the highway
the shadows,dance on
buddy holly,slippin' and slidin'
"peter, paul and mary",old coat
del shannon,two kinds of tear drops
bob dylan,masters of war
bob dylan,with god on our side
connie francis,i'm gonna be warm this winter
barbara lewis,puppy love
bob dylan,let me die in my footsteps
bob dylan,poor boy blues
the crystals,santa claus is coming to town
"peter, paul and mary",flora
roy orbison,(they call you) gigolette
roy orbison,house without windows
lesley gore,my foolish heart
cliff richard & the shadows,the next time
chubby checker,the killer
the tymes,wonderful! wonderful!
roy orbison,dream
connie francis,among my souvenirs
the searchers,sweets for my sweet
martha reeves & the vandellas,come and get these memories
lesley gore,judy's turn to cry
roy orbison,blue bayou
the cascades,shy girl
the cascades,dreamin'
connie francis,don't break the heart that loves you
frankie valli & the four seasons,stay
roy orbison,shahdaroba
the cascades,the last leaf
lou christie,two faces have i
roy orbison,lonely wine
sam cooke,get yourself another fool
lesley gore,"sunshine, lollipops and rainbows"
mary wells,two lovers
the beach boys,in my room
connie francis,stupid cupid
the cascades,rhythm of the rain
the miracles,you've really got a hold on me
the beach boys,surfer girl (stereo)
the beach boys,surfin' u.s.a.
ricky nelson,that's all she wrote
the ronettes,sleigh ride
connie francis,frankie
sam cooke,i wish you love
the tymes,so much in love
lesley gore,cry me a river
connie francis,my happiness
frankie valli & the four seasons,alone
connie francis,everybody's somebody's fool
brenda lee,break it to me gently
the impressions,it's all right
darlene love,christmas (baby please come home)
sam cooke,mean old world
lesley gore,run bobby run
the beach boys,your summer dream (stereo)
trini lopez,if i had a hammer
bobby vee,go away little girl
brenda lee,fly me to the moon
the beach boys,shut down
connie francis,my heart has a mind of its own
lesley gore,no more tears
the miracles,mickey's monkey
kai winding,more (theme from mondo cane)
the beach boys,lana
the everly brothers,i'm so lonesome i could cry
the beach boys,in my room (mono)
the beach boys,farmer's daughter
sam cooke,having a party
the impressions,gypsy woman
the cookies,don't say nothin' bad (about my baby)
darlene love,winter wonderland
the cascades,my first day alone
the beach boys,hawaii
martha reeves & the vandellas,just one look
al martino,i love you because
lou christie,the gypsy cried
lesley gore,what kind of fool am i?
del shannon,runaround sue
"peter, paul and mary",gone the rainbow
darlene love,a marshmallow world
the beach boys,lonely sea
the cascades,punch and judy
ricky nelson,string along
sam cooke,smoke rings
bob dylan,farewell
del shannon,handy man
the beach boys,i'll be home for christmas
manfred mann,can't believe it
bobby vinton,unchained melody
the beach boys,blue christmas
the drifters,in the land of make believe
brenda lee,jingle bell rock
the beach boys,auld lang syne
jay & the americans,crying
jerry lee lewis,"good golly, miss molly"
the beach boys,why do fools fall in love (stereo)
jerry lee lewis,your cheatin' heart
lesley gore,i died inside
lesley gore,leave me alone
brenda lee,my whole world is falling down
the supremes,i want to hold your hand
the supremes,ask any girl
little anthony & the imperials,take me back
jay & the americans,hushabye
the supremes,your kiss of fire
the drifters,rat race
the beach boys,santa claus is comin' to town
dionne warwick,you'll never get to heaven if you break my heart
jay & the americans,tonight
jay & the americans,livin' above your head
jan & dean,sidewalk surfin'
the dixie cups,no true love
the dave clark five,at the scene
dionne warwick,last one to be loved
the impressions,long long winter
jay & the americans,yes
the beach boys,papa-oom-mow-mow
mary wells,my baby just cares for me
brenda lee,the grass is greener
the searchers,sea of heartbreak
the supremes,you've really got a hold on me
jay & the americans,things are changing
lesley gore,danny
manfred mann,bring it to jerome
the dixie cups,all grown up
dusty springfield,when the love light starts shining thru his eyes
bobby vinton,i'll never smile again
monica zetterlund,some other time
the dave clark five,crying over you
the beach boys,"fun, fun, fun"
little anthony & the imperials,tears on my pillow
lesley gore,it's gotta be you
jay & the americans,tomorrow
mary wells,whisper you love me boy
little richard,a whole lotta shakin' goin' on
manfred mann,groovin'
dusty springfield,all cried out
judy collins,"turn, turn, turn! / to everything there is a season"
the beach boys,little honda (stereo)
bob dylan,my back pages
the everly brothers,"gone, gone, gone"
bob dylan,only a pawn in their game
bob dylan,all i really want to do
dionne warwick,anyone who had a heart
the supremes,when the lovelight starts shining through his eyes
bobby vinton,laughing on the outside (crying on the inside)
bob dylan,the lonesome death of hattie carroll
simon & garfunkel,he was my brother
simon & garfunkel,the sun is burning
bob dylan,one too many mornings
the everly brothers,bird dog
sam cooke,the best things in life are free
jay & the americans,let's lock the door (and throw away the key)
the supremes,where did our love go
the searchers,don't throw your love away
the beach boys,all summer long (stereo)
dionne warwick,walk on by
brenda lee,rockin' around the christmas tree
the searchers,needles and pins
dusty springfield,wishin' and hopin'
jay & the americans,this magic moment
the beach boys,"fun, fun, fun (mono)"
the everly brothers,bye bye love
the supremes,come see about me
mary wells,my guy
the supremes,baby love
the everly brothers,('til) i kissed you
little anthony & the imperials,i'm on the outside (looking in)
the everly brothers,devoted to you
frankie valli & the four seasons,an angel cried
jay & the americans,cara mia
wayne fontana & the mindbenders,the game of love
dionne warwick,reach out for me
manfred mann,smokestack lightning
al hirt,cotton candy
the dave clark five,bits and pieces
dusty springfield,stay awhile
the beach boys,"fun, fun, fun (stereo)"
dionne warwick,wishin' and hopin'
the beach boys,pom pom play girl
jerry lee lewis,"long, tall sally"
donovan,lalena
brenda lee,i wonder
the drifters,let the music play
the beach boys,keep an eye on summer
sam cooke,if i had a hammer (the hammer song)
sam cooke,sittin' in the sun
? & the mysterians,96 tears
dusty springfield,anyone who had a heart
little anthony & the imperials,hurt so bad
chubby checker,"lovely, lovely (loverly, loverly)"
donovan,hurdy gurdy man
the beach boys,don't back down (mono)
the beach boys,the man with all the toys
the beach boys,why do fools fall in love
bobby darin,the good life
manfred mann,l.s.d.
four tops,love has gone
sonny & cher,then he kissed me
sonny & cher,unchained melody
cher,needles and pins
cher,i go to sleep
paul simon,he was my brother
the byrds,mr. tambourine man
al martino,my cherie
paul simon,i am a rock
the byrds,i'll feel a whole lot better
the impressions,hard to believe
the impressions,see the real me
manfred mann,the one in the middle
manfred mann,"if you gotta go, go now"
bob dylan,"farewell, angelina"
donovan,goldwatch blues
the byrds,she don't care about time
the beach boys,she knows me too well (stereo)
chad & jeremy,if i loved you
the righteous brothers,the great pretender
buddy holly,wishing
del shannon,needles and pins
smokey robinson & the miracles,since you won my heart
skeeter davis,in the misty moonlight
the beach boys,girl don't tell me (mono)
wilson pickett,teardrops will fall
the righteous brothers,for sentimental reasons
bob dylan,queen jane approximately
manfred mann,"hi lili, hi lo"
gary lewis & the playboys,needles and pins
the righteous brothers,see that girl
gary lewis & the playboys,dream lover
the beach boys,good to my baby (stereo)
the supremes,whisper you love me boy
the beach boys,salt lake city (stereo)
the byrds,eight miles high
the miracles,all i want (is you)
donovan,the war drags on
roy orbison,crawling back
four tops,where did you go
al martino,fascination
the byrds,all i really want to do
donovan,to sing for you
the dave clark five,hurtin' inside
manfred mann,since i don't have you
paul simon,patterns
the supremes,nothing but heartaches
bobby vinton,"theme from ""a summer place"""
donovan,josie
chad & jeremy,september in the rain
del shannon,stranger in town
dusty springfield,losing you
the searchers,goodbye my love
bob dylan,"if you gotta go, go now (or else you got to stay all night)"
gary lewis & the playboys,everybody loves a clown
the byrds,the bells of rhymney
the zombies,you've really got a hold on me
jr. walker & the all stars,shoot your shot
them,don't look back (feat. van morrison)
chad & jeremy,yesterdays gone
donovan,catch the wind
the zombies,i remember when i loved her
gary lewis & the playboys,count me in
dorothy ashby,i will follow you
the righteous brothers,just once in my life
the zombies,sticks and stones
the turtles,eve of destruction (stereo)
the knickerbockers,lies (are breaking my heart)
bob dylan,on the road again
the walker brothers,make it easy on yourself
the brothers four,try to remember
the zombies,the way i feel inside
the righteous brothers,unchained melody
the supremes,stop! in the name of love
the easybeats,friday on my mind
bob dylan,she belongs to me
andy williams,sleigh ride
roy orbison,ride away
jr. walker & the all stars,(i'm a) road runner
al martino,"my darling, i love you"
the lovin' spoonful,sportin' life
joan baez,satisfied mind
the beach boys,good to my baby
gary lewis & the playboys,love potion #9
joan baez,"farewell, angelina"
the righteous brothers,you'll never walk alone
donovan,you're gonna need somebody on your bond
andy williams,do you hear what i hear?
the beach boys,in the back of my mind
donovan,summer day reflection song
patti page,"hush, hush, sweet charlotte"
four tops,ask the lonely
the beach boys,when i grow up (to be a man)
andy williams,almost there
the byrds,lay down your weary tune
sonny & cher,500 miles
john farnham,you're the voice
"peter, paul and mary",hangman
donovan,universal soldier
the impressions,woman's got soul
paul simon,april come she will
jan & dean,popsicle
the lovin' spoonful,lovin' you
smokey robinson & the miracles,whole lot of shakin' in my heart (since i met you)
martha reeves & the vandellas,i'm ready for love
the beach boys,you still believe in me
fontella bass,since i fell for you
the monkees,i'll be true to you
nancy sinatra,time
the seeds,no escape
the spencer davis group,somebody help me
the beach boys,sloop john b
nancy sinatra,run for your life
perry como,yesterday
chris montez,there will never be another you
the beach boys,pet sounds
the beach boys,here today
percy sledge,warm and tender love
nancy sinatra,in my room
little richard,hurry sundown
the beach boys,don't talk (put your head on my shoulder)
sonny & cher,i'm leaving it all up to you
barbara lewis,don't forget about me
lee hazlewood,for one moment
nancy sinatra,lightning's girl
donovan,guinevere
nancy sinatra,it ain't me babe
the lovin' spoonful,warm baby
andy williams,remember
bob dylan,i was young when i left home
the monkees,take a giant step
the beach boys,"caroline, no"
nancy sinatra,flowers on the wall
the supremes,this old heart of mine (is weak for you)
nancy sinatra,lies
the byrds,i come and stand at every door
chris montez,sunny
love,signed d.c.
cher,you don't have to say you love me
nancy sinatra,let it be me
percy sledge,when she touches me
gene pitney,every breath i take
the happenings,sealed with a kiss
los bravos,trapped
nancy sinatra,the city never sleeps at night
the seeds,"faded picture, a"
the seeds,it's a hard life
the byrds,hey joe (where you gonna go)
the beach boys,good vibrations
percy sledge,love me all the way
paul revere & the raiders,get it on
the beach boys,i'm waiting for the day
cher,sunny
